"State: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","Wall: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","Wall: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","Wall: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","State: (4, 5)","State: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)"
1,-0.039999999,-0.039999999,-0.039999999,-0.039999999,-0.039999999,0,-1,-0.039999999,-0.039999999,0,-0.039999999,1,-0.039999999,-1,-0.039999999,0,-0.039999999,-0.039999999,1,-0.039999999,-1,0,-0.039999999,-0.039999999,0,1,-0.039999999,-1,-0.039999999,1,-1,-0.039999999,1,-0.039999999,-0.039999999
1.990000024,1.433120056,1.087111113,0.813072024,0.59603306,0.424138196,0,0.03207111,0.820207064,0.686138144,0,0.28799746,1.887040022,1.556710777,0.310155467,0.530166816,0,0.180173995,1.549575737,2.480378387,2.054165126,0.675425336,0,0.094777808,1.179344015,0,2.721938822,2.281642713,0.704101071,0.523071066,2.007755082,0.392142059,2.253597668,3.109732034,2.48865384,1.978837927
2.970100072,2.457373245,2.095064163,1.767712669,1.478043018,1.201111531,0,1.030615199,1.789249444,1.605091846,0,0.968303855,2.835467071,2.55327835,1.402694555,1.422586055,0,0.762571125,2.604655445,3.561219192,3.188824385,1.892267632,0,0.582722353,2.256397284,0,4.020903559,3.639753677,2.198767726,1.955018557,3.024656516,1.473172149,3.598263223,4.518023644,4.002329561,3.519296893
3.940399144,3.426107064,3.058023918,2.715862659,2.403615804,2.078435893,0,1.992643468,2.738130809,2.540942333,0,1.797845437,3.784262118,3.506968089,2.364287373,2.347326856,0,1.534882708,3.567557276,4.52525599,4.17613675,2.900221375,0,1.623753765,3.232272106,0,5.065905472,4.706603508,3.341538717,3.271642391,4.014963968,2.471539633,4.664164015,5.607256101,5.127989919,4.693671122
4.900995248,4.378044648,4.00123078,3.649398563,3.326239675,2.978133749,0,2.935758111,3.671168213,3.465322693,0,2.674655393,4.724965809,4.440813427,3.294007531,3.263027759,0,2.382233908,4.503361546,5.454303326,5.107439749,3.834085895,0,2.872644092,4.166652326,0,6.012570793,5.656649067,4.318549526,4.428816639,4.989831574,3.441311563,5.617764407,6.564396158,6.094209314,5.689740206
5.851985415,5.318839054,4.932088154,4.570571336,4.23848806,3.876508765,0,3.866606356,4.592074908,4.37757497,0,3.559776799,5.655777443,5.362145927,4.207071653,4.166579322,0,3.25102562,5.425184692,6.367574884,6.01486406,4.736272087,0,4.036406409,5.081743563,0,6.919025247,6.558634314,5.225301655,5.422032089,5.949032666,4.393013694,6.524651733,7.466704348,6.994261603,6.59952081
6.793465703,6.249784087,5.852721286,5.481221879,5.140348492,4.767348395,0,4.787238584,5.502671937,5.279272303,0,4.440575846,6.576391123,6.272828459,5.108316353,5.059398462,0,4.120639246,6.335985125,7.269500304,6.90815123,5.621441182,0,5.05345801,5.984285593,0,7.809715656,7.441021391,6.103025879,6.327801378,6.893032524,5.329098626,7.412079477,8.346231974,7.866847379,7.470348206
7.725531211,7.171286141,6.763842721,6.382252517,6.032533145,5.649350891,0,5.69835993,6.403749185,6.171363274,0,5.313520056,7.486827177,7.173385465,5.999199601,5.942521069,0,4.984194579,7.236510361,8.161162073,7.790723165,6.495223634,0,5.972203526,6.876204924,0,8.69037245,8.312079291,6.966184447,7.192620554,7.822436434,6.250531361,8.287854756,9.213153983,8.725288321,8.322062464
8.648276086,8.083529821,7.665747407,7.27408009,6.915513166,6.522410813,0,6.600264607,7.295663288,7.054307236,0,6.177826488,8.387177722,8.064026197,6.8802612,6.816466945,0,5.83970925,8.127014528,9.042889342,8.663461305,7.359187636,0,6.839051947,7.758084273,0,9.56095548,9.172938787,7.81842354,8.037167036,8.737841395,7.157975795,9.153018815,10.06941431,9.572803843,9.161224591
9.561793535,8.986636351,8.55859586,8.156918469,7.789551227,7.386648248,0,7.49311306,8.178602733,7.928337711,0,7.033435231,9.277549991,8.944884052,7.751712724,7.681493444,0,6.686743301,9.007640299,9.914840902,9.526508382,8.213583656,0,7.679568768,8.630152017,0,10.42155016,10.02388478,8.660648491,8.868773832,9.639801945,8.05200257,10.00788825,10.91548435,10.41017564,9.989829197
